Reachability from c-1-h2 to 192.168.20.42: 3 packets transmitted, 3 received, 0% packet loss, time 2002ms
Reachability from c-1-h2 to 192.168.101.42: 3 packets transmitted, 3 received, 0% packet loss, time 2030ms
Reachability from c-1-h2 to fc00:192:168:20:806b:5aff:fe80:56d0: 3 packets transmitted, 3 received, 0% packet loss, time 2002ms
Reachability from c-1-h2 to fc00:192:168:20::42: 3 packets transmitted, 2 received, 33.3333% packet loss, time 2015ms
Reachability from c-1-h2 to fc00:192:168:101:3406:8cff:fe68:4d09: 3 packets transmitted, 3 received, 0% packet loss, time 2052ms
Reachability from c-1-h2 to 192.168.101.43: 3 packets transmitted, 3 received, 0% packet loss, time 2055ms
Reachability from c-1-h2 to 192.168.30.43: 3 packets transmitted, 3 received, 0% packet loss, time 2002ms
Reachability from c-1-h2 to fc00:192:168:101:a4c6:d4ff:fe52:29d4: 3 packets transmitted, 3 received, 0% packet loss, time 2052ms
Reachability from c-1-h2 to fc00:192:168:30::43: 3 packets transmitted, 3 received, 0% packet loss, time 2001ms
Reachability from c-1-h2 to 192.168.101.44: 3 packets transmitted, 3 received, 0% packet loss, time 2055ms
Reachability from c-1-h2 to 192.168.10.44: 3 packets transmitted, 3 received, 0% packet loss, time 2003ms
Reachability from c-1-h2 to fc00:192:168:101:d4df:1ff:fe18:76da: 3 packets transmitted, 3 received, 0% packet loss, time 2058ms
Reachability from c-1-h2 to fc00:192:168:10:d491:9eff:fedc:672c: 3 packets transmitted, 3 received, 0% packet loss, time 2002ms
Reachability from c-1-h2 to fc00:192:168:10::44: 3 packets transmitted, 3 received, 0% packet loss, time 2002ms
Reachability from c-1-h2 to 192.168.20.45: 3 packets transmitted, 3 received, 0% packet loss, time 2002ms
Reachability from c-1-h2 to 192.168.101.45: 3 packets transmitted, 3 received, 0% packet loss, time 2056ms
Reachability from c-1-h2 to fc00:192:168:20:7478:c7ff:fec5:2756: 3 packets transmitted, 3 received, 0% packet loss, time 2002ms
Reachability from c-1-h2 to fc00:192:168:20::45: 3 packets transmitted, 2 received, 33.3333% packet loss, time 2021ms
